iter	TotalF1	MultiClass
0	0.01633640011	3.692083416
1	0.0781010064	3.675100052
2	0.1241639932	3.658451533
3	0.1661271629	3.6424214
4	0.2107229318	3.626704594
5	0.238671695	3.610790698
6	0.2413703853	3.592874797
7	0.2482021321	3.573764707
8	0.2352517786	3.559361994
9	0.2382573719	3.545299495
10	0.2468152754	3.529415392
11	0.2577715464	3.513999268
12	0.2942008253	3.498047409
13	0.3027242682	3.483074115
14	0.3109409764	3.469005666
15	0.3105049794	3.455481872
16	0.2976063142	3.442404727
17	0.3099164913	3.428435246
18	0.3159447474	3.414722201
19	0.323746146	3.401282411
20	0.3334945782	3.388896017
21	0.3305136314	3.375016011
22	0.3399455855	3.361594735
23	0.3430923261	3.350890359
24	0.3362739248	3.336741404
25	0.344983548	3.322773798
26	0.3531779262	3.308947439
27	0.3520796293	3.295888987
28	0.3585624018	3.282579724
29	0.3761347255	3.269185459
30	0.3816698773	3.255289804
31	0.3925118722	3.242900035
32	0.40155593	3.229143784
33	0.3996814642	3.216605409
34	0.3929960868	3.202998376
35	0.4037333068	3.191141393
36	0.3945203008	3.18016107
37	0.4000654835	3.168431458
38	0.3983835667	3.156976114
39	0.4017965143	3.144328466
40	0.4048154555	3.132526588
41	0.4186635743	3.121588403
42	0.4300365304	3.108340396
43	0.4244691605	3.094847061
44	0.4227107022	3.084234554
45	0.4232636436	3.070420084
46	0.4213630858	3.058143009
47	0.421883836	3.045015613
48	0.4299088148	3.033283504
49	0.4323651053	3.019694934
50	0.4358390592	3.008565926
51	0.4378021469	2.994882748
52	0.4386059731	2.983488825
53	0.4361323661	2.970243246
54	0.4377656929	2.961849345
55	0.4370513568	2.949653783
56	0.4433035306	2.937598553
57	0.4404011011	2.927593946
58	0.4450727948	2.91767117
59	0.4459010197	2.909619957
60	0.4391344557	2.900414166
61	0.4419091016	2.887669048
62	0.4411516481	2.876628453
63	0.4485583005	2.864704656
64	0.4385707762	2.858525033
65	0.4427456947	2.84858688
66	0.4450618843	2.838105595
67	0.447525655	2.829144496
68	0.4552654273	2.820538315
69	0.4636797067	2.810673628
70	0.4775523403	2.799048306
71	0.4727927044	2.79137222
72	0.480958468	2.781632897
73	0.4856083889	2.772552756
74	0.4819506762	2.764148864
75	0.4852559181	2.755032653
76	0.4851786199	2.747101684
77	0.4715172412	2.737632387
78	0.4837482342	2.725541995
79	0.484540798	2.713414533
80	0.4870888996	2.707630748
81	0.4917537181	2.696706822
82	0.4899310453	2.691699212
83	0.49782005	2.68049693
84	0.4959269705	2.674524329
85	0.5136734388	2.662532895
86	0.5075432051	2.657410879
87	0.5116202237	2.648069593
88	0.5176929787	2.638729809
89	0.5278986526	2.630101132
90	0.5267392553	2.62136371
91	0.5451408605	2.610771439
92	0.5501785891	2.600430546
93	0.557173923	2.589604764
94	0.564888943	2.583835192
95	0.5621151461	2.576173847
96	0.5699335752	2.56733782
97	0.5766923844	2.55827172
98	0.5801256434	2.549774558
99	0.5742373394	2.545057883
100	0.5828533832	2.536591992
101	0.5845137605	2.527015703
102	0.5901056517	2.517187878
103	0.5971741952	2.507332502
104	0.5983358944	2.498915942
105	0.5950575507	2.493761053
106	0.597043998	2.484919721
107	0.6091172262	2.476171844
108	0.6043828434	2.465797773
109	0.6045781513	2.458589419
110	0.6120383726	2.450740721
111	0.6183165384	2.440197861
112	0.6313502864	2.431831773
113	0.637894291	2.423183688
114	0.635776885	2.416897829
115	0.6424459316	2.410501394
116	0.6474826892	2.401784822
117	0.6516630628	2.391740356
118	0.6576138248	2.384195014
119	0.6576279142	2.376894577
120	0.6652822759	2.366911829
121	0.6714964448	2.358174697
122	0.6717103012	2.350811353
123	0.6718277226	2.342561562
124	0.6764759602	2.337579718
125	0.6742433004	2.327861012
126	0.6743183331	2.319344181
127	0.6743183331	2.311334307
128	0.6745689075	2.303260007
129	0.6790068567	2.293872212
130	0.6822101098	2.28485609
131	0.6846599564	2.274902419
132	0.6827108716	2.267112849
133	0.6825006106	2.260119848
134	0.6951192431	2.251784277
135	0.694827845	2.243697157
136	0.6949995835	2.234150388
137	0.698009046	2.228495824
138	0.6929965817	2.221476787
139	0.6930750739	2.215035478
140	0.7011355938	2.207892028
141	0.7140234168	2.198946224
142	0.7091509968	2.191661224
143	0.7086880567	2.18484154
144	0.7140628985	2.175941702
145	0.7144117873	2.167677682
146	0.7156284134	2.16054943
147	0.7156284134	2.153585347
148	0.7262017093	2.146778701
149	0.7343876568	2.139056434
150	0.7316671397	2.132852486
151	0.7343657526	2.125532988
152	0.7343657526	2.116704245
153	0.7346498613	2.108516962
154	0.7371967214	2.102639621
155	0.7386615781	2.095801492
156	0.7424017452	2.089168704
157	0.7471023642	2.081323609
158	0.7464402336	2.072765662
159	0.7567468778	2.063835426
160	0.7572588293	2.056626913
161	0.7597832308	2.050597855
162	0.7668951777	2.043210271
163	0.7692458495	2.036270869
164	0.7692458495	2.028883654
165	0.7717501455	2.021855053
166	0.7671116903	2.014184026
167	0.7801808017	2.005827945
168	0.7843128819	1.9986492
169	0.7843128819	1.991396191
170	0.7843128819	1.983746611
171	0.7843128819	1.980347312
172	0.7843128819	1.973220053
173	0.7888663541	1.965775821
174	0.7925828231	1.957893429
175	0.8025623222	1.951347589
176	0.7925828231	1.944555855
177	0.7952257204	1.937649015
178	0.7972887089	1.932982496
179	0.8023030636	1.926571163
180	0.8064315044	1.92022662
181	0.804368516	1.915891223
182	0.804368516	1.910733195
183	0.8097151375	1.904299467
184	0.8124325945	1.896585223
185	0.810369606	1.891136517
186	0.8144980249	1.882710325
187	0.8162339967	1.8755647
188	0.8212136407	1.869668258
189	0.8214542509	1.861512445
190	0.8263036117	1.853547
191	0.8316492924	1.847375199
192	0.8296375705	1.841296571
193	0.8296375705	1.834650998
194	0.8294150981	1.828769077
195	0.8296761999	1.822232247
196	0.8319047275	1.815858241
197	0.8319047275	1.810626971
198	0.8352858682	1.803438484
199	0.8352858682	1.797460929
200	0.8401124315	1.790961296
201	0.8456433668	1.782787741
202	0.8457550202	1.777410345
203	0.8432763263	1.772590123
204	0.8457550202	1.76700759
205	0.8512343655	1.760141046
206	0.8539628767	1.753918469
207	0.8590592427	1.74842592
208	0.8565490877	1.742796463
209	0.856464057	1.73603743
210	0.8582561325	1.728140748
211	0.8582561325	1.722774926
212	0.8582561325	1.718477902
213	0.8606918344	1.711944521
214	0.860527027	1.705605578
215	0.8632994271	1.699684296
216	0.8632994271	1.695041671
