iter	Passed	Remaining
0	2	2502
1	7	3906
2	12	4241
3	17	4415
4	23	4694
5	27	4554
6	30	4382
7	35	4440
8	41	4516
9	44	4445
10	48	4364
11	53	4409
12	57	4368
13	61	4304
14	65	4279
15	69	4251
16	73	4232
17	76	4169
18	79	4127
19	83	4100
20	88	4105
21	91	4069
22	95	4038
23	98	4001
24	101	3973
25	105	3958
26	109	3939
27	112	3908
28	116	3885
29	120	3883
30	123	3859
31	126	3837
32	130	3813
33	133	3790
34	136	3774
35	140	3751
36	143	3736
37	146	3715
38	150	3701
39	153	3682
40	156	3666
41	159	3647
42	163	3631
43	167	3631
44	170	3625
45	174	3612
46	177	3598
47	181	3594
48	184	3582
49	187	3569
50	191	3555
51	194	3540
52	197	3537
53	201	3529
54	204	3520
55	208	3511
56	213	3527
57	216	3522
58	222	3544
59	225	3536
60	229	3533
61	233	3538
62	238	3539
63	242	3541
64	246	3547
65	250	3539
66	253	3529
67	256	3519
68	261	3522
69	265	3521
70	268	3513
71	271	3503
72	275	3495
73	278	3488
74	281	3477
75	285	3470
76	288	3459
77	293	3466
78	296	3461
79	300	3455
80	303	3445
81	306	3436
82	309	3414
83	312	3406
84	315	3398
85	318	3387
86	322	3384
87	327	3390
88	330	3381
89	333	3374
90	338	3378
91	341	3372
92	344	3363
93	348	3355
94	351	3348
95	355	3351
96	359	3344
97	362	3334
98	365	3323
99	368	3312
100	371	3304
101	374	3298
102	377	3288
103	380	3278
104	383	3268
105	386	3260
106	389	3254
107	392	3244
108	395	3236
109	398	3226
110	402	3220
111	405	3218
112	408	3209
113	411	3200
114	414	3191
115	418	3185
116	421	3184
117	425	3178
118	428	3172
119	431	3165
120	435	3161
121	438	3155
122	441	3147
123	444	3139
124	447	3131
125	450	3125
126	453	3120
127	457	3117
128	460	3110
129	463	3102
130	467	3099
131	470	3093
132	473	3086
133	476	3078
134	479	3071
135	483	3070
136	487	3068
137	490	3061
138	493	3054
139	495	3046
140	499	3043
141	502	3036
142	505	3029
143	508	3023
144	511	3016
145	515	3013
146	518	3007
147	521	3000
148	524	2993
149	527	2986
150	530	2982
151	533	2976
152	536	2970
153	539	2963
154	542	2957
155	545	2952
156	549	2951
157	552	2945
158	555	2939
159	558	2932
160	561	2928
161	565	2923
162	568	2917
163	571	2910
164	573	2904
165	577	2900
166	580	2897
167	584	2893
168	587	2888
169	590	2883
170	594	2879
171	597	2875
172	600	2869
173	603	2863
174	606	2856
175	609	2852
176	612	2848
177	615	2843
178	618	2837
179	621	2831
180	624	2826
181	627	2822
182	630	2817
183	633	2811
184	636	2805
185	639	2799
186	643	2796
187	646	2791
188	649	2786
189	652	2780
190	655	2774
191	658	2772
192	662	2769
193	665	2764
194	668	2758
195	671	2753
196	674	2750
197	677	2745
198	680	2739
199	683	2734
200	686	2728
201	690	2726
202	693	2721
203	696	2717
204	699	2712
205	702	2708
206	707	2710
207	711	2708
208	714	2705
209	718	2702
210	722	2700
211	725	2698
212	729	2696
213	733	2693
214	736	2689
215	740	2689
216	744	2685
217	747	2682
218	751	2678
219	754	2676
220	758	2674
221	762	2670
222	765	2666
223	769	2664
224	773	2663
225	776	2660
226	780	2656
227	783	2653
228	788	2653
229	791	2649
230	794	2645
231	797	2640
232	801	2638
233	805	2635
234	808	2632
235	811	2627
236	814	2622
