,Factor1,Factor2,Factor3,Factor4
Religião,-0.16037949820379077,0.10329919413131142,0.8114723177465216,0.20186614905074474
"Raça, Etnia ou Cor",-0.07748047729674672,0.8325060474597986,0.06364095970509029,0.016442066565364143
Nacionalidade,-0.023689576625591163,0.32183709773489994,0.29181588834881406,0.33609847252146474
Gênero e Sexualidade,0.019822543814804822,0.7424172441392801,0.025314649150848963,0.11019364327615083
Violência,0.14071616991124863,0.4390168529374594,0.11575843041996366,0.03807932278300571
Espiritualidade,0.1413655383598508,-0.003541438070453991,0.8362237995324036,-0.11385723193321945
Consumo,0.15333635143127555,0.0611700748990387,0.030917078939983446,0.5899467913435512
Redes Sociais Digitais?,0.17286852642309186,0.008986434635108197,0.08464929169864863,0.5869721919639779
Idioma/Língua,0.24618650331347997,0.16428328605321327,0.030085261856083668,0.3814144502080422
Política,0.2539854388196084,0.5884536759821728,-0.049330479847965125,-0.12044065554901301
Cultural,0.39334895314523094,0.44906915918874263,-0.0655907300829646,-0.016437025138645537
Trabalho,0.41465595941373035,-0.006816673136256302,0.1521150272464504,0.26943277686767775
Expressão Artística,0.448962192866764,0.18247911831941466,-0.03995915965734347,0.11706219296210219
Família,0.4680718892981101,-0.09619036107027094,0.43478237431849426,-0.04707673835465415
Ambiental,0.4733632132353172,0.3460394454698668,0.11972534386845157,-0.17900024146100996
Vida afetiva,0.4990076716203986,0.18532460813467241,0.06562137179263589,-0.01679135735281535
Saúde geral,0.5531839093334984,0.11136314315719782,0.21665823067690343,-0.053531528593797374
"Recreação, Lazer, e Entretenimento",0.6116220279715349,0.13080906528228214,-0.07202581289257741,0.13460197465625276
Estudo,0.6177579641161479,-0.01046258638338484,-0.019409337387011272,0.20746790990132918
Mobilidade,0.7047816075249331,0.004593040819209295,-0.01930190863195264,0.11427507457077177
